sw_longitude,sw_latitude,ne_longitude,ne_latitude,box_rating
-122.514941,37.77214,-122.508941,37.77614,4.5
-122.418941,37.80414,-122.412941,37.80814,4.35
-122.400941,37.71214,-122.394941,37.71614,4.33
-122.454941,37.70814,-122.448941,37.71214,4.25
-122.400941,37.72414,-122.394941,37.72814,4.25
-122.460941,37.76414,-122.454941,37.76814,4.25
-122.400941,37.78014,-122.394941,37.78414,4.25
-122.454941,37.79614,-122.448941,37.80014,4.25
-122.460941,37.80014,-122.454941,37.80414,4.25
-122.424941,37.75614,-122.418941,37.76014,4.22
-122.424941,37.75214,-122.418941,37.75614,4.2
-122.418941,37.78014,-122.412941,37.78414,4.2
-122.412941,37.78814,-122.406941,37.79214,4.2
-122.424941,37.79614,-122.418941,37.80014,4.2
-122.412941,37.73214,-122.406941,37.73614,4.17
-122.400941,37.74414,-122.394941,37.74814,4.17
-122.394941,37.75614,-122.388941,37.76014,4.17
-122.466941,37.78414,-122.460941,37.78814,4.17
-122.418941,37.79614,-122.412941,37.80014,4.17
-122.436941,37.72014,-122.430941,37.72414,4.15
-122.418941,37.74814,-122.412941,37.75214,4.15
-122.418941,37.78414,-122.412941,37.78814,4.15
-122.406941,37.79214,-122.400941,37.79614,4.15
-122.412941,37.79614,-122.406941,37.80014,4.15
-122.418941,37.73614,-122.412941,37.74014,4.11
-122.436941,37.73214,-122.430941,37.73614,4.1
-122.424941,37.76014,-122.418941,37.76414,4.1
-122.412941,37.76014,-122.406941,37.76414,4.1
-122.418941,37.77214,-122.412941,37.77614,4.1
-122.418941,37.78814,-122.412941,37.79214,4.1
-122.394941,37.79214,-122.388941,37.79614,4.1
-122.442941,37.79614,-122.436941,37.80014,4.1
-122.406941,37.79614,-122.400941,37.80014,4.1
-122.388941,37.75614,-122.382941,37.76014,4.06
-122.436941,37.72414,-122.430941,37.72814,4.05
-122.418941,37.75214,-122.412941,37.75614,4.05
-122.412941,37.75214,-122.406941,37.75614,4.05
-122.418941,37.75614,-122.412941,37.76014,4.05
-122.472941,37.76014,-122.466941,37.76414,4.05
-122.424941,37.76414,-122.418941,37.76814,4.05
-122.478941,37.78014,-122.472941,37.78414,4.05
-122.472941,37.78014,-122.466941,37.78414,4.05
-122.466941,37.78014,-122.460941,37.78414,4.05
-122.406941,37.78814,-122.400941,37.79214,4.05
-122.400941,37.79214,-122.394941,37.79614,4.05
-122.412941,37.80014,-122.406941,37.80414,4.05
