sw_longitude,sw_latitude,ne_longitude,ne_latitude,box_rating
-122.478941,37.72414,-122.472941,37.72814,3.45
-122.418941,37.80814,-122.412941,37.81214,3.4
-122.448941,37.71214,-122.442941,37.71614,3.38
-122.406941,37.72414,-122.400941,37.72814,3.38
-122.502941,37.74014,-122.496941,37.74414,3.33
-122.412941,37.76414,-122.406941,37.76814,3.33
-122.490941,37.77614,-122.484941,37.78014,3.33
-122.442941,37.78014,-122.436941,37.78414,3.33
-122.454941,37.72014,-122.448941,37.72414,3.31
-122.406941,37.74014,-122.400941,37.74414,3.29
-122.448941,37.78014,-122.442941,37.78414,3.29
-122.466941,37.70814,-122.460941,37.71214,3.25
-122.472941,37.71214,-122.466941,37.71614,3.25
-122.400941,37.72014,-122.394941,37.72414,3.25
-122.508941,37.74014,-122.502941,37.74414,3.25
-122.454941,37.74014,-122.448941,37.74414,3.25
-122.472941,37.76814,-122.466941,37.77214,3.25
-122.394941,37.76814,-122.388941,37.77214,3.25
-122.394941,37.77214,-122.388941,37.77614,3.25
-122.436941,37.77614,-122.430941,37.78014,3.25
-122.460941,37.76014,-122.454941,37.76414,3.21
-122.448941,37.72014,-122.442941,37.72414,3.17
-122.412941,37.80414,-122.406941,37.80814,3.14
-122.442941,37.76814,-122.436941,37.77214,3.13
-122.454941,37.77214,-122.448941,37.77614,3.13
-122.448941,37.78414,-122.442941,37.78814,3.13
-122.406941,37.80414,-122.400941,37.80814,3.1
-122.400941,37.80014,-122.394941,37.80414,3.08
-122.490941,37.75214,-122.484941,37.75614,3.05
-122.514941,37.76814,-122.508941,37.77214,3
-122.460941,37.79614,-122.454941,37.80014,3
-122.466941,37.72414,-122.460941,37.72814,2.93
-122.484941,37.72014,-122.478941,37.72414,2.88
-122.490941,37.73214,-122.484941,37.73614,2.83
-122.502941,37.75214,-122.496941,37.75614,2.75
-122.466941,37.71214,-122.460941,37.71614,2.33
